run_number,run_type,total_requests,buy_orders,sell_orders,p50_latency_ms,p95_latency_ms,p99_latency_ms,avg_latency_ms,error_rate_pct,success_rate_pct,http_reqs_per_sec
1,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
2,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
3,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
4,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
5,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
6,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
7,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
8,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
9,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
10,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
11,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
12,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
13,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
14,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
15,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
16,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
17,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
18,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
19,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
20,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
21,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
22,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
23,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
24,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
25,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
26,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
27,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
28,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
29,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
30,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
31,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
32,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
33,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
34,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
35,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
36,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
37,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
38,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
39,aggressive,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
40,normal,0,0,0,0.00,0.00,0.00,0.00,0,0,0.00
